Date,L_s,min_lat,max_lat,min_lon,max_lon,global_water_mean,global_temp_mean,storm_water_mean,storm_temp_mean
4/7/2015,7.521002523,42,64,152,173,0.002090463,174.9016215,0.001296526,176.9684185
15/7/2015,12.84149352,-59,-45,39,60,0.001630626,166.9298363,0.001499585,173.5649282
21/7/2015,15.70891788,-61,-47,42,63,0.001665776,164.0652396,0.000948743,170.5553508
23/7/2015,16.65953834,40,55,161,182,0.001244714,181.4979946,0.002998686,184.3426786
25/7/2015,17.60763174,-59,-38,8,29,0.001350939,168.2183401,0.000628221,165.3787432
1/8/2015,20.90664261,-63,-47,321,342,0.001709927,161.6371398,0.001896095,157.8757201
18/8/2015,28.80250706,-40,3,211,232,0.001385302,179.9780101,0.001346954,183.6660559
23/8/2015,31.09630083,-55,-38,13,34,0.001407956,166.385264,0.000529916,167.4420116
26/8/2015,32.46687817,-40,-16,224,245,0.001376775,176.928985,0.001615917,177.3353582
27/8/2015,32.92281901,-60,-44,311,332,0.001264433,159.6189687,0.001505228,157.1048133
29/8/2015,33.83335486,-60,-39,125,146,0.001168593,159.1039709,0.001389417,161.0549464
29/8/2015,33.83335486,-38,-5,212,233,0.001418388,179.1806112,0.001235278,180.8377457
1/9/2015,35.19587306,-59,-37,140,161,0.001195891,162.6459602,0.001265413,159.8045885
4/9/2015,36.55457504,40,60,210,231,0.000683359,186.1021929,0.000265885,187.8317398
5/9/2015,37.00665225,-53,-34,160,181,0.00122343,166.7348045,0.001753978,166.3195459
5/9/2015,37.00665225,-62,-28,329,350,0.000996496,163.4402283,0.000712709,162.8667642
5/9/2015,37.00665225,-56,-41,247,268,0.001407431,161.5783319,0.0016105,160.4980923
8/9/2015,38.36048735,-61,-41,230,251,0.001292208,157.6104834,0.002553874,160.3265095
9/9/2015,38.81098446,-39,-1,208,229,0.001674921,177.8769968,0.000827181,181.4383349
12/9/2015,40.16020579,-55,-16,223,244,0.00123983,167.7647915,0.001503726,173.3227022
17/9/2015,42.40165771,-63,-31,276,297,0.000721874,160.7693005,0.001451054,159.5394424
18/9/2015,42.84890799,-32,-2,199,220,0.001112977,180.6383946,0.001220604,183.012591
19/9/2015,43.29582385,-60,-39,286,307,0.00073248,159.3403668,0.001285377,157.1410199
19/9/2015,43.29582385,-25,6,204,225,0.001139999,183.5871778,0.001005901,183.6921557
20/9/2015,43.74241056,-61,-23,236,257,0.000805007,161.1751839,0.000721314,168.2751246
26/9/2015,46.41531355,-38,-23,103,124,0.000544034,177.9370995,6.92E-05,183.5068628
28/9/2015,47.3038866,-30,4,195,216,0.001047453,182.6176458,0.00069403,184.2167832
29/9/2015,47.74774779,-43,-30,255,276,0.000484718,175.0427298,0.00068369,171.7235687
1/10/2015,48.63464577,-60,-28,238,259,0.000572175,163.9876811,0.001211363,165.5639699
5/10/2015,50.40529116,-55,-35,258,279,0.000450271,167.7092831,0.000576457,165.0542214
7/10/2015,51.28912252,-58,-35,127,148,0.000434047,163.6293686,0.000283138,168.5904883
10/10/2015,52.61312336,-56,-36,229,250,0.000356152,166.8634454,0.000360464,168.8231341
16/10/2015,55.25535725,-48,-31,254,275,0.000333533,172.1799829,0.000457777,173.4418851
18/10/2015,56.13454641,-45,4,210,231,0.001302462,178.2221032,0.00081076,181.1151597
21/10/2015,57.45201568,-47,-28,252,273,0.00032648,174.7525419,0.000510772,172.0401723
21/10/2015,57.45201568,-37,-24,89,110,0.000356818,179.8401459,7.07E-05,185.1507359
22/10/2015,57.89084247,-37,-10,230,251,0.000854542,180.4900943,0.001657275,176.0853086
25/10/2015,59.20640707,-55,-38,273,294,0.00030155,167.9334652,0.000355074,164.7564641
27/10/2015,60.08273919,-52,-16,64,85,0.000707041,170.1586824,0.000445112,184.6188211
28/10/2015,60.52070761,-48,-33,10,31,0.000310291,171.6034614,0.000200486,174.6887144
11/11/2015,66.64153266,21,36,27,48,0.001182383,188.6254043,0.001530468,188.7646009
2/12/2015,75.80816792,25,41,25,46,0.001107584,192.2992643,0.000443178,192.4492952
7/12/2015,77.99262779,-37,2,105,126,0.001641842,181.2071621,0.001064344,184.499924
13/12/2015,80.61679069,-56,-36,299,320,0.000227102,167.5590763,0.000168304,166.2178346
13/12/2015,80.61679069,-58,-40,272,293,0.000193394,161.8478825,0.000513149,160.4163763
16/12/2015,81.93035039,-8,5,151,172,0.002219904,182.3306857,0.00141975,187.0270071
27/12/2015,86.75784483,-46,-25,147,168,0.000549608,176.578461,0.000175842,181.0859516
9/1/2016,92.49290813,-37,-23,268,289,0.00066951,180.7085972,0.001024278,178.3029001
15/1/2016,95.1537491,-40,-24,244,265,0.00061991,180.2350802,0.001191668,175.8487492
19/1/2016,96.93332106,-16,5,69,90,0.002298984,182.8416481,0.002503446,183.276338
22/1/2016,98.27122017,26,41,30,51,0.001305061,192.0992206,0.001582828,190.9896837
24/1/2016,99.16476526,-35,-21,263,284,0.000978393,181.2842316,0.002306497,177.7908783
24/1/2016,99.16476526,-38,-22,236,257,0.000865683,180.4078952,0.001509699,176.8050203
24/1/2016,99.16476526,-9,9,181,202,0.002493704,183.0877058,0.001511888,183.865505
7/2/2016,105.4594342,-55,-31,275,296,0.00050288,168.0202098,0.000524929,171.9145587
7/2/2016,105.4594342,-39,-23,248,269,0.000662752,179.9857562,0.001590507,176.9089648
10/2/2016,106.818217,-57,-31,264,285,0.000487404,164.9749643,0.000676045,171.7548224
